LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (RESEARCH SCIENTIST),92600
"KARL STORZ ENDOSCOPY - AMERICA, INC.",EL SEGUNDO,CA,90245-,"MARKETING MANAGER, NEURO ENDOSCOPY AND SPINE",75000
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENG(TECHYAHOO!,SOFTWARE APPS DEV ENGINEER",76300
"DIGITAL DOMAIN PRODUCTIONS, INC.",VENICE,CA,90291-,DIGITAL ARTIST 2,81510
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,SANTA BARBARA,CA,93106-7150,ASSOCIATE SPECIALIST,23.17
"REDBACK NETWORKS INC., AN ERICSSON COMPANY",SAN JOSE,CA,95134-,"MANAGER, SOFTWARE ENGINEERING",140369.84
"SYNAPSE DESIGN AUTOMATION, INC.",SAN JOSE,CA,95113,HARDWARE ENGINEER,73632
CAVIUM NETWORKS,MOUNTAIN VIEW,CA,94043,SENIOR PRODUCT ENGINEER,95000
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,POSTDOCTORAL RESEARCH SCHOLAR (SCIENTIST),56500
"ALLERGAN SALES, LLC",IRVINE,CA,92612-,PRINCIPAL HEALTH OUTCOMES RESEARCH ASSOCIATE,1.00E+05
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,SYSTEMS/SOFTWARE ENGINEER,87500
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENIGINEER,94135
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,96033.6
TRIGNOS INCORPORATED,NEWARK,CA,94560,COMPUTER PROGRAMMER,75000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,97323
LOGITECH INC.,FREMONT,CA,94555-,SOFTWARE ENGINEER (AUDIO ENGINEER),75174
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 3),90000
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER (TECHNICAL YAHOO!, SR.)",92600
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,94244.8
TRIGNOS INCORPORATED,NEWARK,CA,94560,COMPUTER PROGRAMMER,80000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER IN TEST,88000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR STAFF SOFTWARE ENGINEER,115960
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),86000
"ALLERGAN SALES, LLC",IRVINE,CA,92612-,"VICE PRESIDENT DEVELOPMENT, UROLOGY",265000
"KRG TECHNOLOGIES, INC.",VALENCIA,CA,91355-,PROGRAMMER ANALYST,57000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SYSTEMS ENGINEER,100371
CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,OAKLAND,CA,94609,STAFF RESEARCH ASSOCIATE II,43992
"WIND RIVER SYSTEMS, INC.",ALAMEDA,CA,94501-,SOFTWARE ENGINEER/WEB DEVELOPER,75878
TBWA WORLDWIDE INC.,LOS ANGELES,CA,90066,ACCOUNT PLANNER,50000
LAB126,CUPERTINO,CA,95014,SOFTWARE DEVELOPMENT ENGNIEER II,115000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),91100
"REDBACK NETWORKS INC., AN ERICSSON COMPANY",SAN JOSE,CA,95134-,SOFTWARE ENGINEER,137800
"IMPAX LABORATORIES, INC.",HAYWARD,CA,94544-,STATISTICAL ANALYST,1.00E+05
PRO UNLIMITED,BURLINGAME,CA,94010-,MARKET RESEARCH ANALYST (COMP. INTELLIG. ANALYST),72800
"SUCCESSFACTORS, INC.",SAN MATEO,CA,94404,LEAD SOFTWARE ENGINEER,110000
BSH HOME APPLIANCES CORPORATION,HUNTINGTON BEACH,CA,92649-,PROJECT ENGINEER,81527
NITTO DENKO TECHNICAL CORPORATION,OCEANSIDE,CA,92058,RESEARCH SCIENTIST,72000
CALYPSO SOFTWARE,DUBLIN,CA,94568,PROGRAMMER ANALYST,57450
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,RELEASE OPERATIONS MANAGER,117686
"DTI SERVICES, INC.",LOS ANGELES,CA,90017,GRAPHIC DESIGNER,84888
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF SYSTEMS ENGINEER,107681.6
"THE GAP, INC.",SAN FRANCISCO,CA,94105-,SOFTWARE DEVELOPMENT ENGINEER (LEAD),97219
"DCG SYSTEMS, INC.",FREMONT,CA,94538,RESEARCH SCIENTIST,110000
QLOGIC CORPORATION,ALISO VIEJO,CA,92656,"ENGINEER, SR.",83012.8
"REDBACK NETWORKS INC., AN ERICSSON COMPANY",SAN JOSE,CA,95134-,SOFTWARE DEVELOPMENT TEST ENGINEER,125725
CHEN & FAN ACCOUNTANCY CORPORATION,EL MONTE,CA,91731,STAFF AUDITOR,24.73
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86569.6
"DTI SERVICES, INC.",LOS ANGELES,CA,90017,SYSTEMS/DATABASE ADMINISTRATOR,72982
"CYMER, INC.",SAN DIEGO,CA,92127-,MECHANICAL ENGINEER (SR. SYSTEMS ENGINEER),82900
"KNOBBE MARTENS OLSON & BEAR, LLP",IRVINE,CA,92614-,PATENT SCIENTIST,100027
"PACIFIC DATA IMAGES, INC.",GLENDALE,CA,91201,VISUAL DEVELOPMENT ARTIST,1.00E+05
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,MARKETING ANALYTICS MANANGER (STATISTICIAN),87500
"NRICH ENTERPRISE SOLUTIONS, LLC",ELK GROVE,CA,95758,DATABASE ADMINISTRATOR,50000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,RESEARCH ENGINEER (SOFTWARE),105000
PAYROLLING.COM,SAN DIEGO,CA,92109,"ENGINEER, SENIOR",48
"UBICOM, INC.",SAN JOSE,CA,95134,FIELD APPLICATIONS ENGINEER,115000
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,POSTDOCTORAL RESEARCH SCHOLAR (MECH. ENGINEER),53500
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),90000
"THE GAP, INC.",SAN FRANCISCO,CA,94105-,"DESIGNER, MEN'S KNITS AND GRAPHICS",1.00E+05
TRIGNOS INCORPORATED,NEWARK,CA,94560,SOFTWARE ENGINEER,80000
TRIGNOS INCORPORATED,NEWARK,CA,94560,COMPUTER PROGRAMMER,75000
CALERA CORPORATION,LOS GATOS,CA,95032,RESEARCH ASSOCIATE,55000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),76300
TRIGNOS INCORPORATED,NEWARK,CA,94560,COMPUTER PROGRAMMER,75000
APPLIED MICRO CIRCUITS CORPORATION,SUNNYVALE,CA,94089-,PRINCIPAL DESIGN ENGINEER,120000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,62670
"WILLIAMS-SONOMA, INC.",SAN FRANCISCO,CA,94109-,MANAGER STORE DESIGN,85000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,98758.4
"BLUE SKY STUDIOS, INC.",LOS ANGELES,CA,90067-,ANIMATOR,85000
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014-,IT DEVELOPER/ENGINEER,91246.59
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86570
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,94245
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (SOFTWARE DEVELOPMENT ENGINEER),92600
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SYSTEMS ENGINEER,92630
YAHOO! INC.,SUNNYVALE,CA,94089-,"NETWORK & COMP SYST ADMIN (TECH YAHOO, SERV ENG)",80891
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86569.6
NOKIA INC.,SAN DIEGO,CA,92131-,CORE SOFTWARE ENGINEER,108000.1
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,WEB DEVELOPER (TECHNICAL),85600
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539.2
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,115000
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617-,ELECTRICAL SENIOR ENGINEER,87000
"STRATIFY, AN IRON MOUNTAIN COMPANY",MOUNTAIN VIEW,CA,94043,MEMBER OF ACCOUNTING STAFF,67691
"ABC, INC.",BURBANK,CA,91521-0153,"DIRECTOR, WORLDWIDE DIGITAL CINEMA",140000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,90000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL SYSTEM DEVELOPMENT EN,109000
LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES,CA,90017-,TEACHER,45637
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,STAFF SCIENTIST,80449
HARTNELL COMMUNITY COLLEGE DISTRICT,SALINAS,CA,93901,VICE PRESIDENT OF ACADEMIC AFFAIRS/ACCREDITATION,141759
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,94158-,POSTDOCTORAL FELLOW,44054
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,114000
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,94143,ASSOCIATE SPECIALIST,51720
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,96033.6
ARUP NORTH AMERICA LTD.,SAN FRANCISCO,CA,94105,GRADUATE GEOTECHNICAL ENGINEER,62899
DELTA DENTAL OF CALIFORNIA,SAN FRANCISCO,CA,94105-,PROGRAMMER ANALYST III,77334
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,94244.8
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE/SYSTEMS TEST ENGINEER,79539.2
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054,SYSTEMS ANALYST,82000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,98758.4
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,VISITING ASSISTANT PROFESSOR,70000
"QUALCOMM INNOVATION CENTER, INC.",SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,96034
LUMILEDS LIGHTING LLC,SAN JOSE,CA,95131,RELIABILITY ENGINEER,88733
INFORMATICA CORPORATION,REDWOOD CITY,CA,94063-,PRINCIPAL/LEAD TECHNICAL SUPPORT ENGINEER,110829
"2WIRE, INC.",SAN JOSE,CA,95131-,"DIRECTOR, ACCOUNT MANAGEMENT - LATIN AMERICA",104416
"NEXLOGIC TECHNOLOGIES, INC.",SAN JOSE,CA,95131,DESIGN ENGINEER,75000
"VOXIFY, INC.",ALAMEDA,CA,94501,VOICE USER INTERFACE (VUI) DESIGNER,62000
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054-,SYSTEMS ANALYST,5859
"SILVER SPRING NETWORKS, INC.",REDWOOD CITY,CA,94063-3134,SOFTWARE ENGINEER,90000
"QUALCOMM INNOVATION CENTER, INC.",SAN DIEGO,CA,92121,SOFTWARE ENGINEER,72459
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!/NETWORK ENG.),75000
"GREENSTEIN, ROGOFF, OLSEN & CO. LLP",FREMONT,CA,94538,PROFESSIONAL STAFF ACCOUNTANT,53000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCH ENGINEER,74000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSISTANT PROJECT SCIENTIST,49100
APTINA LLC,SAN JOSE,CA,95134,WAFER LEVEL OPTICAL INTEGRATION ENGINEER,88171
"OSISOFT, LLC",SAN LEANDRO,CA,94577-,MARKETING MANAGER,136531
"SOLYNDRA, INC.",FREMONT,CA,94538-,SENIOR PROGRAMMER ANALYST,94000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,82950
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,STAFF RESEARCH ASSOCIATE V,68000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER (QA),78445
PROSUM INC.,EL SEGUNDO,CA,90245,BUSINESS ANALYST,115000
"SPEEDDATE.COM, INC.",MILLBRAE,CA,94030,SOFTWARE ENGINEER,84000
KLA-TENCOR CORPORATION,MILPITAS,CA,95035-,SOFTWARE ENGINEER,103000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,114000
"UNACOM USA, INC.",LOS ANGELES,CA,90025,RESEARCH DIRECTOR,40000
YAHOO! INC.,SUNNYVALE,CA,94089-,TECHNICAL YAHOO! SOFTWARE DEVELOPMENT ENGINEER,76500
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER (TECHNICAL YAHOO, QA ENGINEER)",75000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (QA ENGINEER/WEB UI AUTOMATION),76300
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO! QA ENGINEER),91100
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (PRODUCT MANAGER 4),83000
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617,ELECTRICAL SENIOR ENGINEER,90000
"AUTODESK, INC.",SAN RAFAEL,CA,94903-,SR. STORAGE ENGINEER,97490
"APTINA, LLC",SAN JOSE,CA,95134,CAD SUPERVISOR,125445
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE/SYSTEMS TEST ENGINEER,77861
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER(TECHNICAL YAHOO,SOFTWARE DEV ENG",74900
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (SOFTWARE DEVELOPMENT ENGINEER),86000
BURNHAM INSTITUTE FOR MEDICAL RESEARCH,LA JOLLA,CA,92037-,POSTDOCTORAL ASSOCIATE,45000
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,RESEARCH SCIENTIST,101400
BURNHAM INSTITUTE FOR MEDICAL RESEARCH,LA JOLLA,CA,92037-,POSTDOCTORAL ASSOCIATE,42000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSISTANT RESEARCHER,27.56
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,SOFTWARE DESIGNER VI,108181
"ENERGY AND ENVIRONMENTAL ECONOMICS, INC.",SAN FRANCISCO,CA,94104-,ENERGY ANALYST,52478
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,PRINCIPAL CONSULTANT,85000
JEWISH COMMUNITY CENTER OF SAN FRANCISCO,SAN FRANCISCO,CA,94118,ASSISTANT ATHLETIC PROGRAM MANAGER,44616
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539
"HOSPITALIST OF ARIZONA, INC.",NORTH HOLLYWOOD,CA,91602,HOSPITALIST PHYSICIAN,145000
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,SYSTEMS/SOFTWARE ENGINEER II,73965
"MODEL N, INC.",REDWOOD SHORES,CA,94065,ASSOICATE MEMBER OF TECHNICAL STAFF,75000
"FELT RACING, LLC",IRVINE,CA,92618,NETWORK ADMINISTRATOR,24.03
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,97323
"LEADPOINT, INC.",LOS ANGELES,CA,90049-,SENIOR SOFTWARE ENGINEER,87000
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,94088-,SOFTWARE DEVELOPMENT ENGINEER II,78042
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (SOFTWARE DEVELOPMENT ENGINEER),92000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121-,SOFTWARE ENGINEER,71094.4
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSOCIATE PROJECT SCIENTIST,62500
"RFAXIS, INC.",IRVINE,CA,92618,SENIOR RFIC DESIGN ENGINEER,98000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,44000
"QUALCOMM INNOVATION CENTER, INC.",SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86569.6
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,94143,ASSISTANT SPECIALIST,44400
"RFAXIS, INC.",IRVINE,CA,92618,SENIOR LAYOUT DESIGN ENGINEER,98000
SOUTHERN CALIFORNIA GROUP INC.,ORANGE,CA,92868,FINANCIAL ANALYST,25.87
NOKIA INC.,SAN DIEGO,CA,92131-,SENIOR SOFTWARE DEVELOPER - MAEMO MULTIMEDIA,102000
INFORMATICA CORPORATION,REDWOOD CITY,CA,94063-,SR. MANAGER EDUCATION SERVICES (CURRICULUM DEV MAN,127500
"CITYSEARCH, LLC",WEST HOLLYWOOD,CA,90069-,SR. SOFTWARE ENGINEER,95000
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,IT ENGINEER,80434
KLA-TENCOR CORPORATION,MILPITAS,CA,95035-,PROJECT MANAGER (SOFTWARE ENGINEER),116669.36
"SHUTTERFLY, INC.",REDWOOD CITY,CA,94065,SENIOR WEB ENGINEER,125000
EDWARDS LIFESCIENCES LLC,IRVINE,CA,92614,TRANSFEMORAL PHYSICIAN PROCTOR,5769.5
KLA-TENCOR CORPORATION,MILPITAS,CA,95035-,INFORMATION SYSTEMS ANALYST,130000
"INPATIENT CONSULTANTS OF TENNESSEE, INC.",NORTH HOLLYWOOD,CA,91602-,HOSPITALIST PHYSICIAN,67.31
PACIFIC LIFE INSURANCE COMPANY,NEWPORT BEACH,CA,92660,SR. SYSTEMS ADMINISTRATOR,90000
GLOBAL CITIZEN YEAR,SAN FRANCISCO,CA,94103,INTERNATIONAL PROGRAM DIRECTOR,75000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR SYSTEMS ENGINEER, SOFTWARE",96033.6
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE/SYSTEMS TEST ENGINEER,79539.2
"ROCKET MOBILE, INC.",LOS GATOS,CA,95032-,SOFTWARE ENGINEER,78000
AECOM TECHNOLOGY CORPORATION,LOS ANGELES,CA,92832,BUSINESS ANALYST  INFORMATION TECHNOLOGY,105000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86570
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR SYSTEMS ENGINEER, SOFTWARE",86569.2
"ATHEROS COMMUNICATIONS, INC.",SANTA CLARA,CA,95054,PRINCIPAL SOFTWARE ENGINEER,147000
MINDJET LLC,SAN FRANCISCO,CA,94111-,SOFTWARE ENGINEER - TEST,73000
APTINA LLC,SAN JOSE,CA,95134,FIRMWARE ENGINEER,88733
CYPRESS SEMICONDUCTOR CORPORATION,SAN JOSE,CA,95134-,SENIOR TEST ENGINEER,79000
"AUTODESK, INC.",SAN RAFAEL,CA,94903-,SOFTWARE QUALITY ASSURANCE ENGINEER,69680
"COOKING.COM, INC.",MARINA DEL REY,CA,90292,SENIOR DEVELOPER,95000
"FLEXTRONICS INTERNATIONAL USA, INC.",MILPITAS,CA,95035,STRATEGIC SUPPLY CHAIN MANAGER,28.33
ATASCADERO STATE HOSPITAL,ATASCADERO,CA,93423,"REHABILITATION THERAPIST, MUSIC",54408
"AUTODESK, INC.",SAN RAFAEL,CA,94903-,IT QA ENTERPRISE APPLICATIONS AUTOMATION ENGINEER,86757
TRUST COMPANY OF THE WEST,LOS ANGELES,CA,90017,QUALITY ASSURANCE ANALYST,70000
"REARDEN COMMERCE, INC.",FOSTER CITY,CA,94404-,PRINCIPAL ENGINEER,117520
"INPATIENT CONSULTANTS OF NEVADA, P.C.",NORTH HOLLYWOOD,CA,91602,HOSPITALIST PHYSICIAN,150000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,126000
DELTA ACQUISITION CORP.,LOS ANGELES,CA,90067-,TECHNICAL MANAGER,103917
NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH & EDUCA,SAN FRANCISCO,CA,94121-,STAFF RESEARCH ASSOCIATE III,44054
E-BASE TECHNOLOGIES INC,FREMONT,CA,94538,PROGRAMMER ANALYST,28
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSISTANT PROFESSOR,85800
"COBALT TECHNOLOGIES, INC",MOUNTAIN VIEW,CA,94043-,BIOPROCESS RESEARCH ASSOCIATE,69493
"LANTIQ BROADBAND HOLDCO, INC.",MILPITAS,CA,95035-,SENIOR FIRMWARE ENGINEER,85530.12
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,POSTDOCTORAL RESEARCH SCHOLAR (SCIENTIST),53500
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,96033.6
FORTUNE TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,62000
"VIEWPOINTS RESEARCH INSTITUTE, INC.",GLENDALE,CA,91201,RESEARCH ASSOCIATE,94500
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,CA,92008,SENIOR SCIENTIST,78052
"QUALCOMM INNOVATION CENTER, INC.",SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86569.6
"SPARTA CONSULTING, INC.",FOLSOM,CA,95630,SENIOR CONSULTANT,115000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF PROGRAMMER ANALYST,87402
"NOVELLUS SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,84000
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,TECHNOLOGY CONSULTANT IV,84624.94
UNION SQUARE ADVISORS LLC,SAN FRANCISCO,CA,94111,DIRECTOR,182000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,123000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR PROGRAMMER ANALYST,76232
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSOCIATE PROFESSOR,86000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,86570
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 3),74900
MCKESSON CORPORATION,SAN FRANCISCO,CA,94104,BUSINESS ANALYST,80954
"SHOPZILLA, INC.",LOS ANGELES,CA,90064,SOFTWARE ENGINEER,89336
"TREND MICRO, INC.",CUPERTINO,CA,95014,SENIOR SOFTWARE ENGINEER,74568
BURNHAM INSTITUTE FOR MEDICAL RESEARCH,LA JOLLA,CA,92037,POSTDOCTORAL ASSOCIATE,45504.01
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECHNICAL YAHOO! SERVICE ENGINE,90000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,71094.4
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPMENT DIRECTOR),120000
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECHNICAL YAHOO!),85000
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECHNICAL YAHOO!),74900
"WILLIAMS-SONOMA, INC.",SAN FRANCISCO,CA,94109,PROGRAMMER ANALYST III,90000
ERICSSON INC.,SAN JOSE,CA,95134,SOFTWARE ENGINEER,95760
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,50000
NEC CORPORATION OF AMERICA,SANTA CLARA,CA,95050,SYSTEMS ANALYST,102024
MOODY'S ANALYTICS,SAN FRANCISCO,CA,94105,SENIOR FINANCIAL DATA ANALYST,69430
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,STAFF RESEARCH ASSOCIATE III,43512
ZYNGA INC.,SAN FRANCISCO,CA,94107,SENIOR PRODUCT MANAGER,90000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,1.00E+05
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617,ELECTRICAL STAFF ENGINEER,114005
"STEC, INC.",SANTA ANA,CA,92705,SOFTWARE TEST ENGINEER,85000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539.2
"ROCKYOU, INC.",REDWOOD CITY,CA,94063,JUNIOR FRONT END DEVELOPER,73632
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539.2
"HOSPITALIST OF ARIZONA, INC.",NORTH HOLLYWOOD,CA,91602,HOSPITALIST PHYSICIAN,83.33
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,110000
"SPARTA CONSULTING, INC",FOLSOM,CA,95630,COMPUTER SOFTWARE ENGINEER (SAP SYSTEMS),75000
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,94143,POSTDOCTORAL SCHOLAR,43860
"CALYPTO DESIGN SYSTEMS, INC.",SANTA CLARA,CA,95054,QUALITY ASSURANCE ENGINEER,69000
"INIRUS, LLC",SANTA CLARA,CA,95054,PROGRAMMER ANALYST,85946
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,45000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,37500
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,41288
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (SENIOR TECHNICAL YAHOO!),91300
TRIDENT MICROSYSTEMS INC.,SANTA CLARA,CA,95054,SENIOR HARDWARE MANAGER,107500
NANOSEMANTICS INC,SANTA CLARA,CA,95050,SYSTEMS ANALYST,61963
MOODY'S ANALYTICS,SAN FRANCISCO,CA,94105,ASSOCIATE ANALYST,65000
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,94143,"SPECIALIST, STEP 2",68748
