LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
"TELLAPART, INC.",SAN MATEO,CA,94403,SOFTWARE ENGINEER,110000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO! SERVICE ENG),76300
"QUANTENNA COMMUNICATIONS, INC.",FREMONT,CA,94538,MEMBER OF TECHNICAL STAFF,85000
COMMUNITY TECHNOLOGY ALLIANCE,SAN JOSE,CA,95112-,REPORT WRITER/ANALYST,55000
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (QA ANALYST 3-PRODDEV),62982
"IGN ENTERTAINMENT, INC.",BEVERLY HILLS,CA,90210,JR. SOFTWARE ENGINEER,65000
"CYMER, INC.",SAN DIEGO,CA,92127-,SR. BUSINESS SYSTEMS ANALYST,94100
QUALCOMM INNOVATION CENTER INC.,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,71094.4
YAHOO! INC.,SUNNYVALE,CA,94089-,MARKET RESEARCH ANALYST (INT'L CONSUMER MKT MNGR),83700
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),64900
"GEN-PROBE, INCORPORATED",SAN DIEGO,CA,92121,SENIOR TECHNICAL SPECIALIST - HLA,115000
"THE GAP, INC.",SAN FRANCISCO,CA,94105-,MANAGER INTERNATIONAL TREASURY,81494
ORAFINONE GLOBAL INC,FREMONT,CA,94536,PROGRAMMER ANALYST,54000
"SPIDERCLOUD WIRELESS, INC.",SANTA CLARA,CA,95054,WIRELESS SYSTEMS TEST ENGINEER,82500
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,ASSOCIATE ACCOUNT STRATEGIST,48000
ORAFINONE GLOBAL INC,FREMONT,CA,94536,PROGRAMMER ANALYST,54000
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER (TECH YAHOO!, SR. SOFT DEV. ENG)",91100
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054-,SYSTEMS ANALYST,7083
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121-,SOFTWARE/SYSTEMS TEST ENGINEER,71094
"SOLYNDRA, INC.",FREMONT,CA,94538-,FINANCIAL ANALYST (ACCOUNTANT),84000
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,POSTDOCTORAL SCHOLAR,43500
KYOCERA WIRELESS CORPORATION,SAN DIEGO,CA,92121,"PRODUCT TEST ENGINEER, STAFF",97830
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,94088-,MTS ANALOG DESIGN ENGINEER,98910
"CANVAS INFOTECH, INC.",UNION CITY,CA,94587,DATA QA ENGINEER,63107
AMGEN INC.,THOUSAND OAKS,CA,91320-,SENIOR ASSOCIATE CDM SYSTEMS,90522
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),80000
NEWPORT CORPORATION,IRVINE,CA,92606-,SR. SCIENTIST,88587
"MERCED  SYSTEMS, INC.",REDWOOD CITY,CA,94065-,SENIOR PRODUCT MANAGER,125000
NOKIA INC.,SAN DIEGO,CA,92131-,S60 INTEGRATION MANAGER,80000
"WEBSENSE, INC.",SAN DIEGO,CA,92121,"VICE PRESIDENT, STRATEGIC SALES",153000
"MEECO USA, INC.",IRVINE,CA,92614,INTERNATIONAL MARKETING SPECIALIST,55000
"GREENSTEIN, ROGOFF, OLSEN & CO. LLP",FREMONT,CA,94538,VALUATION ANALYST,53503
